full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long,extraversion_scaled,neuroticism_scaled,agreeableness_scaled,conscientiousness_scaled,openness_scaled,extraversion_percentile,neuroticism_percentile,agreeableness_percentile,conscientiousness_percentile,openness_percentile
Plano TX,Plano,Texas,0.01,0.02,0.04,-0.05,-0.01,260415,33.05,-96.75,0.06666666666666665,0.24999999999999978,0.16279069767441867,-0.3913043478260869,-0.1282051282051283,0.5632183908045977,0.6564495530012772,0.6232439335887612,0.07151979565772669,0.40229885057471265
Henderson NV,Henderson,Nevada,-0.01,-0.04,0.1,0.01,-0.02,255646,36.03,-115,-0.06666666666666676,-0.1250000000000001,0.4418604651162792,0.1304347826086958,-0.17948717948717952,0.367816091954023,0.19284802043422733,0.9425287356321839,0.5593869731800766,0.34227330779054915
Norfolk VA,Norfolk,Virginia,0.06,-0.04,-0.04,0.03,0.13,248182,36.92,-76.24,0.3999999999999999,-0.1250000000000001,-0.2093023255813954,0.30434782608695654,0.5897435897435896,0.9233716475095786,0.19284802043422733,0.140485312899106,0.776500638569604,0.9604086845466155
Chandler AZ,Chandler,Arizona,0.01,0.02,0.04,-0.01,0.03,247915,33.3,-111.87,0.06666666666666665,0.24999999999999978,0.16279069767441867,-0.04347826086956519,0.07692307692307687,0.5632183908045977,0.6564495530012772,0.6232439335887612,0.3397190293742018,0.6564495530012772
Lincoln NE,Lincoln,Nebraska,-0.01,-0.03,0.02,0.01,-0.05,245301,40.82,-96.69,-0.06666666666666676,-0.0625,0.06976744186046502,0.1304347826086958,-0.33333333333333337,0.367816091954023,0.2656449553001277,0.46360153256704983,0.5593869731800766,0.17624521072796934
Glendale AZ,Glendale,Arizona,-0.07,0.03,0.05,0.01,-0.05,244734,33.58,-112.2,-0.4666666666666667,0.3125,0.2093023255813955,0.1304347826086958,-0.33333333333333337,0.024265644955300127,0.7305236270753512,0.6845466155810983,0.5593869731800766,0.17624521072796934
Jersey City NJ,Jersey City,New Jersey,0.02,0.01,-0.16,-0.06,0.11,237125,40.71,-74.06,0.1333333333333333,0.1875,-0.7674418604651163,-0.4782608695652174,0.487179487179487,0.6730523627075351,0.5874840357598978,0.005108556832694764,0.04469987228607918,0.9310344827586207
Greensboro NC,Greensboro,North Carolina,-0.01,-0.04,0.02,-0.01,0.1,233342,36.08,-79.83,-0.06666666666666676,-0.1250000000000001,0.06976744186046502,-0.04347826086956519,0.4358974358974359,0.367816091954023,0.19284802043422733,0.46360153256704983,0.3397190293742018,0.9169859514687101
Fort Wayne IN,Fort Wayne,Indiana,-0.05,-0.02,0.04,0.07,-0.06,231147,41.07,-85.14,-0.33333333333333337,0,0.16279069767441867,0.6521739130434785,-0.3846153846153847,0.06768837803320563,0.3397190293742018,0.6232439335887612,0.9731800766283525,0.12643678160919541
Scottsdale AZ,Scottsdale,Arizona,0.06,-0.03,0.03,0.04,-0.04,230949,33.69,-111.87,0.3999999999999999,-0.0625,0.11627906976744184,0.39130434782608714,-0.28205128205128216,0.9233716475095786,0.2656449553001277,0.5389527458492975,0.8671775223499362,0.2260536398467433
Birmingham AL,Birmingham,Alabama,0.08,-0.07,0.01,0.05,0.08,229300,33.53,-86.8,0.5333333333333332,-0.3125000000000001,0.023255813953488413,0.4782608695652173,0.33333333333333326,0.9629629629629629,0.06385696040868455,0.37420178799489145,0.9169859514687101,0.8684546615581098
Madison WI,Madison,Wisconsin,-0.09,-0,0.03,-0.1,0.01,227642,43.08,-89.39,-0.6,0.125,0.11627906976744184,-0.8260869565217392,-0.02564102564102566,0.005108556832694764,0.5108556832694764,0.5389527458492975,0.005108556832694764,0.5325670498084292
Hialeah FL,Hialeah,Florida,0.05,0.03,-0.1,-0.05,0.03,224644,25.86,-80.3,0.3333333333333335,0.3125,-0.4883720930232559,-0.3913043478260869,0.07692307692307687,0.8837803320561941,0.7305236270753512,0.038314176245210725,0.07151979565772669,0.6564495530012772
Chesapeake VA,Chesapeake,Virginia,-0.03,-0.03,0.11,0.04,-0,223222,36.68,-76.31,-0.19999999999999996,-0.0625,0.4883720930232558,0.39130434782608714,-0.07692307692307698,0.17879948914431673,0.2656449553001277,0.9655172413793104,0.8671775223499362,0.4661558109833972
Baton Rouge LA,Baton Rouge,Louisiana,0.09,-0.07,-0.01,-0,0.06,222217,30.45,-91.13,0.6000000000000001,-0.3125000000000001,-0.06976744186046513,0.04347826086956519,0.23076923076923062,0.9719029374201787,0.06385696040868455,0.24521072796934865,0.46998722860791825,0.7994891443167306
Chula Vista CA,Chula Vista,California,0.03,-0.04,0.09,-0.04,0.1,221736,32.63,-117.04,0.19999999999999996,-0.1250000000000001,0.39534883720930236,-0.30434782608695654,0.4358974358974359,0.7675606641123882,0.19284802043422733,0.9080459770114943,0.1111111111111111,0.9169859514687101
Modesto CA,Modesto,California,0.02,0.01,0.07,-0.01,-0.02,221674,37.66,-120.99,0.1333333333333333,0.1875,0.30232558139534893,-0.04347826086956519,-0.17948717948717952,0.6730523627075351,0.5874840357598978,0.8173690932311622,0.3397190293742018,0.34227330779054915
Laredo TX,Laredo,Texas,0.02,-0.04,-0.03,-0.06,0.1,218041,27.53,-99.49,0.1333333333333333,-0.1250000000000001,-0.16279069767441867,-0.4782608695652174,0.4358974358974359,0.6730523627075351,0.19284802043422733,0.16219667943805874,0.04469987228607918,0.9169859514687101
Garland TX,Garland,Texas,0.03,-0.01,0.02,-0.03,-0.05,217609,32.91,-96.63,0.19999999999999996,0.06249999999999978,0.06976744186046502,-0.21739130434782605,-0.33333333333333337,0.7675606641123882,0.43167305236270753,0.46360153256704983,0.17879948914431673,0.17624521072796934
Lubbock TX,Lubbock,Texas,-0.02,0,0.02,0.03,-0.04,213587,33.58,-101.88,-0.1333333333333333,0.125,0.06976744186046502,0.30434782608695654,-0.28205128205128216,0.2656449553001277,0.5108556832694764,0.46360153256704983,0.776500638569604,0.2260536398467433
Orlando FL,Orlando,Florida,0.07,-0.07,0.05,0.02,0.02,211226,28.5,-81.37,0.4666666666666668,-0.3125000000000001,0.2093023255813955,0.21739130434782616,0.02564102564102555,0.9501915708812261,0.06385696040868455,0.6845466155810983,0.6743295019157088,0.5951468710089399
Rochester NY,Rochester,New York,-0.04,0.03,-0.07,0.02,0.02,209587,43.17,-77.62,-0.2666666666666667,0.3125,-0.34883720930232565,0.21739130434782616,0.02564102564102555,0.10983397190293742,0.7305236270753512,0.06768837803320563,0.6743295019157088,0.5951468710089399
Durham NC,Durham,North Carolina,0.04,-0.05,-0,-0.01,0,208426,35.98,-78.91,0.26666666666666683,-0.1875,-0.023255813953488413,-0.04347826086956519,-0.07692307692307698,0.8301404853128991,0.13026819923371646,0.3090676883780332,0.3397190293742018,0.4661558109833972
Akron OH,Akron,Ohio,-0.02,0.03,-0.08,0.05,0,206634,41.08,-81.52,-0.1333333333333333,0.3125,-0.39534883720930225,0.4782608695652173,-0.07692307692307698,0.2656449553001277,0.7305236270753512,0.05236270753512133,0.9169859514687101,0.4661558109833972
Reno NV,Reno,Nevada,-0,-0.04,0.02,0.01,0.04,206626,39.54,-119.82,0,-0.1250000000000001,0.06976744186046502,0.1304347826086958,0.1282051282051282,0.48148148148148145,0.19284802043422733,0.46360153256704983,0.5593869731800766,0.7113665389527458
San Bernardino CA,San Bernardino,California,-0.04,0.03,-0.05,-0.01,0,205743,34.14,-117.29,-0.2666666666666667,0.3125,-0.2558139534883722,-0.04347826086956519,-0.07692307692307698,0.10983397190293742,0.7305236270753512,0.1111111111111111,0.3397190293742018,0.4661558109833972
Glendale CA,Glendale,California,0.02,-0.04,0.04,-0.04,0.09,204747,34.18,-118.25,0.1333333333333333,-0.1250000000000001,0.16279069767441867,-0.30434782608695654,0.3846153846153846,0.6730523627075351,0.19284802043422733,0.6232439335887612,0.1111111111111111,0.8914431673052363
Fremont CA,Fremont,California,-0.02,-0.02,-0,-0.05,0.02,202574,37.53,-122,-0.1333333333333333,0,-0.023255813953488413,-0.3913043478260869,0.02564102564102555,0.2656449553001277,0.3397190293742018,0.3090676883780332,0.07151979565772669,0.5951468710089399
Irvine CA,Irvine,California,-0.01,-0.05,-0.02,-0.04,0.02,199755,33.66,-117.8,-0.06666666666666676,-0.1875,-0.11627906976744184,-0.30434782608695654,0.02564102564102555,0.367816091954023,0.13026819923371646,0.20178799489144317,0.1111111111111111,0.5951468710089399
Yonkers NY,Yonkers,New York,0.01,0,-0.16,-0.01,0.02,198045,40.95,-73.87,0.06666666666666665,0.125,-0.7674418604651163,-0.04347826086956519,0.02564102564102555,0.5632183908045977,0.5108556832694764,0.005108556832694764,0.3397190293742018,0.5951468710089399
Montgomery AL,Montgomery,Alabama,0.06,-0.09,0.06,0.04,0.06,197653,32.35,-86.28,0.3999999999999999,-0.4375,0.2558139534883721,0.39130434782608714,0.23076923076923062,0.9233716475095786,0.031928480204342274,0.7535121328224776,0.8671775223499362,0.7994891443167306
Tacoma WA,Tacoma,Washington,-0.03,0.06,0.02,-0.05,0.07,197621,47.25,-122.46,-0.19999999999999996,0.5,0.06976744186046502,-0.3913043478260869,0.28205128205128194,0.17879948914431673,0.876117496807152,0.46360153256704983,0.07151979565772669,0.8403575989782887
Spokane WA,Spokane,Washington,-0.08,-0,0.1,0.06,-0.01,197513,47.67,-117.41,-0.5333333333333334,0.125,0.4418604651162792,0.5652173913043479,-0.1282051282051283,0.008939974457215836,0.5108556832694764,0.9425287356321839,0.9578544061302682,0.40229885057471265
Huntington Beach CA,Huntington Beach,California,0.08,-0.05,0.07,0.02,0.04,197124,33.69,-118.01,0.5333333333333332,-0.1875,0.30232558139534893,0.21739130434782616,0.1282051282051282,0.9629629629629629,0.13026819923371646,0.8173690932311622,0.6743295019157088,0.7113665389527458
Shreveport LA,Shreveport,Louisiana,0.01,-0.06,0.01,0.04,0.04,196228,32.47,-93.8,0.06666666666666665,-0.25,0.023255813953488413,0.39130434782608714,0.1282051282051282,0.5632183908045977,0.09578544061302682,0.37420178799489145,0.8671775223499362,0.7113665389527458
Irving TX,Irving,Texas,-0.02,0.01,-0.04,0.01,0.03,194407,32.86,-96.97,-0.1333333333333333,0.1875,-0.2093023255813954,0.1304347826086958,0.07692307692307687,0.2656449553001277,0.5874840357598978,0.140485312899106,0.5593869731800766,0.6564495530012772
