full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
Lancaster CA,Lancaster,California,-0,0.05,0.04,-0,0.04,131779,34.69,-118.18
Fort Collins CO,Fort Collins,Colorado,-0.12,-0.01,0.01,-0.01,0.06,131505,40.56,-105.07
Thousand Oaks CA,Thousand Oaks,California,0.04,-0.05,0.13,-0.01,0.03,130136,34.19,-118.87
Gainesville FL,Gainesville,Florida,0.01,-0.01,-0.02,0,0.14,127933,29.67,-82.34
El Monte CA,El Monte,California,-0.03,-0,0.08,-0.07,0.04,127195,34.07,-118.03
Alexandria VA,Alexandria,Virginia,-0.01,0.04,-0.08,-0.03,0.02,127159,38.82,-77.09
Sterling Heights MI,Sterling Heights,Michigan,0.03,0,0.02,0.05,-0.08,127027,42.58,-83.03
Concord CA,Concord,California,-0.01,-0.01,0.06,-0.02,-0,126360,37.97,-122
Sunnyvale CA,Sunnyvale,California,0.01,-0.04,0.09,-0.05,-0.01,125486,37.39,-122.03
New Haven CT,New Haven,Connecticut,0.07,-0.09,-0.11,0.06,0.09,125030,41.31,-72.92
Fayetteville NC,Fayetteville,North Carolina,0.04,-0.05,-0.03,0.02,0.02,124919,35.07,-78.9
Savannah GA,Savannah,Georgia,0.07,-0.12,-0.01,0.05,0.08,124898,32.02,-81.13
Elizabeth NJ,Elizabeth,New Jersey,0.05,-0.02,-0.14,-0.04,0.01,124552,40.67,-74.19
Hartford CT,Hartford,Connecticut,0.02,-0.06,-0.16,-0.01,0.08,123836,41.77,-72.68
Cedar Rapids IA,Cedar Rapids,Iowa,-0.06,0.01,0.01,0,-0.07,123243,41.97,-91.67
Carrollton TX,Carrollton,Texas,-0.02,-0.01,0.07,-0.05,-0,123154,32.99,-96.9
Miramar FL,Miramar,Florida,-0.02,-0.06,0.04,-0.01,0.07,123116,25.98,-80.33
Stamford CT,Stamford,Connecticut,0.02,-0.02,-0.14,0.03,0,122011,41.1,-73.55
Topeka KS,Topeka,Kansas,-0.02,0.03,0.05,0.02,-0.06,121229,39.04,-95.69
Vallejo CA,Vallejo,California,0.05,-0.04,-0.01,0.03,0.06,121146,38.11,-122.26
